X,Y
143,32613.693359
144,32609.929688
145,38779.277344
146,30778.976562
147,36014.386719
148,33451.171875
149,31311.550781
150,32281.857422
151,30964.992188
152,29440.039062
153,34239.210938
154,36765.449219
155,32308.810547
156,35713.339844
157,34695.363281
158,35727.566406
159,32926.558594
160,32979.714844
161,31270.621094
162,31920.212891
163,30112.480469
164,31197.542969
165,34959.781250
166,30568.976562
167,29971.732422
168,28319.220703
169,35191.164062
170,33523.843750
171,34216.781250
172,29527.000000
173,31983.386719
174,30158.291016
175,31615.960938
176,34234.125000
177,30654.873047
178,32880.773438
179,33204.796875
180,30692.724609
181,29456.613281
182,33830.292969
183,32269.841797
184,30148.841797
185,28993.708984
186,34543.433594
187,29155.464844
188,34328.636719
189,26972.197266
190,32473.630859
191,36366.835938
192,31448.976562
193,29758.464844
194,30517.298828
195,28381.898438
196,27173.464844
197,29380.685547
198,34490.417969
199,34136.867188
200,27376.046875
201,30360.724609
202,36067.179688
203,29808.865234
204,30527.763672
205,35005.746094
206,32469.000000
207,31974.976562
208,30001.833984
209,31048.613281
210,26566.386719
211,30286.134766
212,30291.865234
213,30637.361328
214,26752.503906
215,30445.597656
216,36214.464844
217,31200.015625
218,30945.929688
219,29145.566406
220,32830.867188
221,31354.283203
222,34449.738281
223,27321.062500
224,32930.203125
225,35908.000000
226,32091.960938
227,31560.527344
228,29215.890625
229,28404.228516
230,31488.472656
231,32352.693359
232,31137.267578
233,32725.007812
234,31238.205078
235,33172.730469
236,31679.181641
237,32172.716797
238,29845.724609
239,28794.166016
240,32046.716797
241,34208.324219
242,34924.898438
243,30906.031250
244,31341.921875
245,32921.261719
246,33838.566406
247,32547.613281
248,29211.000000
249,31782.755859
250,33270.125000
251,36135.976562
252,32436.693359
253,27731.337891
254,32731.857422
255,35385.636719
256,33423.292969
257,35778.496094
258,34836.730469
259,34821.332031
260,33674.210938
261,34460.890625
262,34998.804688
263,33004.683594
264,28406.236328
265,34424.558594
266,40015.628906
267,30445.794922
268,36267.347656
269,33327.605469
270,35707.261719
271,31564.189453
272,27554.929688
273,29628.062500
274,33324.773438
275,34584.722656
276,37811.203125
277,32015.402344
278,28368.314453
279,33294.738281
280,33753.332031
281,30590.101562
282,27572.535156
283,31232.716797
284,30832.566406
285,28531.669922
286,31100.976562
287,31594.244141
288,32438.589844
289,30617.574219
290,32935.253906
291,32974.890625
292,33037.953125
293,27915.093750
294,36065.292969
295,32275.841797
296,35046.085938
297,31123.062500
298,28596.503906
299,35067.261719
300,34363.945312
301,31710.558594
302,35561.347656
303,29444.078125
304,29237.369141
305,31764.394531
306,30162.771484
307,27926.126953
308,31358.464844
309,33610.820312
310,32209.535156
311,31806.410156
312,27802.314453
313,30637.330078
314,30232.449219
315,32231.841797
316,34731.410156
317,31772.630859
318,30688.945312
319,35592.867188
320,29297.410156
321,36401.660156
322,31730.173828
323,30015.220703
324,28610.353516
325,29417.740234
326,32983.007812
327,33209.675781
328,28214.740234
329,32204.425781
330,33301.195312
331,27188.841797
332,30020.330078
333,31339.109375
334,29362.031250
335,27935.630859
336,31601.298828
337,30996.906250
338,28208.472656
339,32616.054688
340,30395.322266
341,29184.007812
342,34078.046875
343,28386.000000
344,27405.369141
345,31688.630859
